,Latitude,Longitude,Mosquito_collection_year_end,IR_Test_.mortality,AFR_PPP_2015_adj_v2,X2015_-1ture_Africa_ITN.2015,X2015_-1ture_Africa_PfPR.2015,layer,cells,AFR_PPP_2015_adj_v2.1,X2015_-1ture_Africa_ITN.2015.1,X2015_-1ture_Africa_PfPR.2015.1,layer.1
1350,-17.18161,37.46814,2014,100,449.877533,0.735681818,0.574572206,6,2208485,449.877523,0.735681818,0.574572206,6
2635,-17.22138,32.36472,2013,100,461.4248047,0.651391572,0.030211793,1,2210043,461.4248089,0.651391572,0.030211793,1
2636,-17.22138,32.36472,2013,90.8,461.4248047,0.651391572,0.030211793,1,2210043,461.4248089,0.651391572,0.030211793,1
2210,-17.266,38.14499,2013,97,836.6263428,0.801365246,0.369336933,4,2211863,836.6263214,0.801365246,0.369336933,4
2211,-17.266,38.14499,2013,95,836.6263428,0.801365246,0.369336933,4,2211863,836.6263214,0.801365246,0.369336933,4
179,-17.329,35.591,2016,33,12894.10547,0.730219163,0.366322279,4,2213483,12894.10571,0.730219163,0.366322279,4
180,-17.329,35.591,2016,34,12894.10547,0.730219163,0.366322279,4,2213483,12894.10571,0.730219163,0.366322279,4
660,-17.329,35.591,2015,91,12894.10547,0.730219163,0.366322279,4,2213483,12894.10571,0.730219163,0.366322279,4
670,-17.329,35.591,2015,69,12894.10547,0.730219163,0.366322279,4,2213483,12894.10571,0.730219163,0.366322279,4
1348,-17.329,35.591,2014,100,12894.10547,0.730219163,0.366322279,4,2213483,12894.10571,0.730219163,0.366322279,4
2213,-17.329,35.591,2013,97,12894.10547,0.730219163,0.366322279,4,2213483,12894.10571,0.730219163,0.366322279,4
2214,-17.329,35.591,2013,95,12894.10547,0.730219163,0.366322279,4,2213483,12894.10571,0.730219163,0.366322279,4
208,-17.39694,32.22666,2016,100,2846.929443,0.625158728,0.033707112,1,2216764,2846.929355,0.625158728,0.033707112,1
1558,-17.39694,32.22666,2014,100,2846.929443,0.625158728,0.033707112,1,2216764,2846.929355,0.625158728,0.033707112,1
1559,-17.39694,32.22666,2014,100,2846.929443,0.625158728,0.033707112,1,2216764,2846.929355,0.625158728,0.033707112,1
1568,-17.39694,32.22666,2014,100,2846.929443,0.625158728,0.033707112,1,2216764,2846.929355,0.625158728,0.033707112,1
1569,-17.39694,32.22666,2014,100,2846.929443,0.625158728,0.033707112,1,2216764,2846.929355,0.625158728,0.033707112,1
2633,-17.39694,32.22666,2013,100,2846.929443,0.625158728,0.033707112,1,2216764,2846.929355,0.625158728,0.033707112,1
2634,-17.39694,32.22666,2013,91,2846.929443,0.625158728,0.033707112,1,2216764,2846.929355,0.625158728,0.033707112,1
2639,-17.39694,32.22666,2013,100,2846.929443,0.625158728,0.033707112,1,2216764,2846.929355,0.625158728,0.033707112,1
2640,-17.39694,32.22666,2013,91,2846.929443,0.625158728,0.033707112,1,2216764,2846.929355,0.625158728,0.033707112,1
557,-17.38562,49.409111,2015,99,3727.768555,0.998555436,0.023509517,1,2217176,3727.768606,0.998555436,0.023509517,1
558,-17.38562,49.409111,2015,100,3727.768555,0.998555436,0.023509517,1,2217176,3727.768606,0.998555436,0.023509517,1
559,-17.38562,49.409111,2015,99,3727.768555,0.998555436,0.023509517,1,2217176,3727.768606,0.998555436,0.023509517,1
560,-17.38562,49.409111,2015,95,3727.768555,0.998555436,0.023509517,1,2217176,3727.768606,0.998555436,0.023509517,1
561,-17.38562,49.409111,2015,99,3727.768555,0.998555436,0.023509517,1,2217176,3727.768606,0.998555436,0.023509517,1
562,-17.38562,49.409111,2015,91,3727.768555,0.998555436,0.023509517,1,2217176,3727.768606,0.998555436,0.023509517,1
126,-17.46525,49.20055,2016,98,2472.510742,0.997387935,0.030821044,1,2220533,2472.510711,0.997387935,0.030821044,1
127,-17.46525,49.20055,2016,100,2472.510742,0.997387935,0.030821044,1,2220533,2472.510711,0.997387935,0.030821044,1
128,-17.46525,49.20055,2016,82,2472.510742,0.997387935,0.030821044,1,2220533,2472.510711,0.997387935,0.030821044,1
167,-17.46525,49.20055,2016,99,2472.510742,0.997387935,0.030821044,1,2220533,2472.510711,0.997387935,0.030821044,1
168,-17.46525,49.20055,2016,96,2472.510742,0.997387935,0.030821044,1,2220533,2472.510711,0.997387935,0.030821044,1
169,-17.46525,49.20055,2016,99,2472.510742,0.997387935,0.030821044,1,2220533,2472.510711,0.997387935,0.030821044,1
170,-17.46525,49.20055,2016,89,2472.510742,0.997387935,0.030821044,1,2220533,2472.510711,0.997387935,0.030821044,1
538,-17.465246,49.200554,2015,92,2472.510742,0.997387935,0.030821044,1,2220533,2472.510711,0.997387935,0.030821044,1
539,-17.465246,49.200554,2015,98,2472.510742,0.997387935,0.030821044,1,2220533,2472.510711,0.997387935,0.030821044,1
540,-17.465246,49.200554,2015,100,2472.510742,0.997387935,0.030821044,1,2220533,2472.510711,0.997387935,0.030821044,1
541,-17.465246,49.200554,2015,100,2472.510742,0.997387935,0.030821044,1,2220533,2472.510711,0.997387935,0.030821044,1
542,-17.465246,49.200554,2015,100,2472.510742,0.997387935,0.030821044,1,2220533,2472.510711,0.997387935,0.030821044,1
578,-17.465246,49.200554,2015,82,2472.510742,0.997387935,0.030821044,1,2220533,2472.510711,0.997387935,0.030821044,1
120,-17.486891,49.455669,2016,99,2521.457275,0.994375632,0.024831891,1,2220539,2521.457318,0.994375632,0.024831891,1
121,-17.486891,49.455669,2016,99,2521.457275,0.994375632,0.024831891,1,2220539,2521.457318,0.994375632,0.024831891,1
122,-17.486891,49.455669,2016,99,2521.457275,0.994375632,0.024831891,1,2220539,2521.457318,0.994375632,0.024831891,1
159,-17.486891,49.455669,2016,91,2521.457275,0.994375632,0.024831891,1,2220539,2521.457318,0.994375632,0.024831891,1
160,-17.486891,49.455669,2016,100,2521.457275,0.994375632,0.024831891,1,2220539,2521.457318,0.994375632,0.024831891,1
161,-17.486891,49.455669,2016,100,2521.457275,0.994375632,0.024831891,1,2220539,2521.457318,0.994375632,0.024831891,1
162,-17.486891,49.455669,2016,100,2521.457275,0.994375632,0.024831891,1,2220539,2521.457318,0.994375632,0.024831891,1
2212,-17.603,36.814001,2013,100,6346.126465,0.806588763,0.295172244,3,2225279,6346.126489,0.806588763,0.295172244,3
211,-17.6306,27.3441,2016,93,277.4579773,0.361575181,0.11425288,2,2226733,277.45797,0.361575181,0.11425288,2
892,-17.6306,27.3441,2015,86,277.4579773,0.361575181,0.11425288,2,2226733,277.45797,0.361575181,0.11425288,2
1577,-17.6306,27.3441,2014,81,277.4579773,0.361575181,0.11425288,2,2226733,277.45797,0.361575181,0.11425288,2
1578,-17.6306,27.3441,2014,81,277.4579773,0.361575181,0.11425288,2,2226733,277.45797,0.361575181,0.11425288,2
213,-17.9515,29.3047,2016,83,737.9110718,0.459128584,0.031807341,1,2238547,737.9110553,0.459128584,0.031807341,1
891,-17.9515,29.3047,2015,83,737.9110718,0.459128584,0.031807341,1,2238547,737.9110553,0.459128584,0.031807341,1
117,-17.94053,49.14608,2016,92,1315.032349,0.981242002,0.033323314,1,2239023,1315.032322,0.981242002,0.033323314,1
