Latitude,Longitude,Mosquito_collection_year_end,IR_Test_%mortality
6.888356,-6.439657,2015,24.5
6.151632,-5.951988,2015,2.7
5.225936,-3.753666,2015,11.4
6.549058,-7.497654,2015,7.3
9.466934,-5.614256,2015,70
7.406431,-7.557051,2015,73.8
7.6905,-5.03917,2015,67.9
9.518875,-7.557223,2015,5.7
9.968435,-5.14842,2015,42.4
5.277253,-3.885896,2015,75.3
4.757882,-6.64236,2015,7.5
7.960178,-6.674504,2015,21.2
6.623337,-5.914557,2015,2
7.800568,-3.162908,2015,69.6
7.34569,-3.20307,2015,8.7
10.48196,-6.41306,2015,8.7
8.284168,-7.681942,2015,28
7.375083,-6.477013,2015,17.3
6.827914,-5.289975,2015,50
7.764659,-5.097066,2015,5.7
6.10715,-3.855348,2015,67.7
8.047883,-2.807864,2015,37.6
6.982747,-5.740517,2015,9.4
6.888356,-6.439657,2015,7.1
6.747242,-7.362155,2015,4.9
5.225936,-3.753666,2015,3.7
7.406431,-7.557051,2015,10.6
9.968435,-5.14842,2015,68.3
5.277253,-3.885896,2015,16.8
4.757882,-6.64236,2015,11.6
7.800568,-3.162908,2015,30.6
7.34569,-3.20307,2015,10.1
10.48196,-6.41306,2015,15.4
6.827914,-5.289975,2015,16.8
7.764659,-5.097066,2015,68
5.317695,-4.090085,2015,92.2
6.814,-8.308,2015,74.2
5.317695,-4.090085,2015,89.4
6.814,-8.308,2015,69.2
5.317695,-4.090085,2015,100
6.814,-8.308,2015,82.7
-3.52083,23.60027,2015,100
-5.89611,22.41638,2015,100
-11.03333,26.95,2015,100
-5.912739,29.191392,2015,100
-4.73389,15.70694,2015,97
-2.225,28.83138,2015,98
-4.73389,15.70694,2015,91
-2.225,28.83138,2015,92
-5.89611,22.41638,2015,30
-4.34862,15.28453,2015,52
-11.03333,26.95,2015,53
-5.912739,29.191392,2015,55
-3.52083,23.60027,2015,68
-4.34862,15.28453,2015,85
-4.3275,15.313333,2015,0
-4.3275,15.313333,2015,67.2
-4.3275,15.313333,2015,20.9
-4.3275,15.313333,2015,2.6
7.77314,37.23129,2015,4
11.38,37.28,2015,9
7.77314,37.23129,2015,9
11.38,37.28,2015,9
8.275,35.75583,2015,10
8.247193,34.591524,2015,11
11.38,37.28,2015,11
8.73333,37.46666,2015,13
7.337,38.11,2015,16
8.275,35.75583,2015,17
11.38,37.28,2015,17
8.275,35.75583,2015,20
7.337,38.11,2015,21
7.77314,37.23129,2015,22
8.247193,34.591524,2015,24
11.38,37.28,2015,25
7.337,38.11,2015,25
8.247193,34.591524,2015,28
7.77314,37.23129,2015,32
8.73333,37.46666,2015,32
12.41967,39.553678,2015,35
9.328847,40.181096,2015,35
7.337,38.11,2015,43
7.337,38.11,2015,43
8.275,35.75583,2015,49
9.328847,40.181096,2015,49
7.77314,37.23129,2015,50
12.41967,39.553678,2015,53
8.275,35.75583,2015,54
12.41967,39.553678,2015,57
9.328847,40.181096,2015,61
9.328847,40.181096,2015,70
9.328847,40.181096,2015,79
12.41967,39.553678,2015,80
8.247193,34.591524,2015,86
12.41967,39.553678,2015,89
11.082491,35.116309,2015,40.7
8.598864,36.062839,2015,29.2
8.56842,39.25451,2015,47
7.500139,37.234648,2015,39
5.761943,37.290425,2015,33.3
8.193005,37.394207,2015,59.4
8.380388,37.747657,2015,25
8.234073,36.20687,2015,9
7.773734,37.227642,2015,4
8.527312,35.735426,2015,17
11.574209,37.361353,2015,17
12.41967,39.553591,2015,80
9.328875,40.18109,2015,70
7.313755,38.089589,2015,16
7.773734,37.227642,2015,32
8.527312,35.735426,2015,48
7.945374,38.930183,2015,32
11.574209,37.361353,2015,25
12.41967,39.553591,2015,57
9.328875,40.18109,2015,49
8.331036,33.95707,2015,11
7.313755,38.089589,2015,43
7.773734,37.227642,2015,50
8.527312,35.735426,2015,10
11.574209,37.361353,2015,9
12.41967,39.553591,2015,53
9.328875,40.18109,2015,79
8.331036,33.95707,2015,86
7.313755,38.089589,2015,43
7.773734,37.227642,2015,9
8.527312,35.735426,2015,54
11.574209,37.361353,2015,11
12.41967,39.553591,2015,35
9.328875,40.18109,2015,35
8.331036,33.95707,2015,24
7.313755,38.089589,2015,21
7.773734,37.227642,2015,22
8.527312,35.735426,2015,20
7.945374,38.930183,2015,13
11.574209,37.361353,2015,9
12.41967,39.553591,2015,89
9.328875,40.18109,2015,61
8.331036,33.95707,2015,28
7.313755,38.089589,2015,25
9.58583,-0.90166,2015,35
9.43333,-1.06666,2015,46
9.55166,-0.72944,2015,50
9.58583,-0.90166,2015,55
9.43333,-1.06666,2015,55
9.432726,-1.076131,2015,63.8
9.43333,-1.06666,2015,66
9.566667,-0.95,2015,67
9.566667,-0.95,2015,75
9.407081,-0.85249,2015,75.8
9.55166,-0.72944,2015,77
9.432726,-1.076131,2015,84
10.523772,-0.370128,2015,89
5.5333,-0.2166,2015,52.5
5.4166,-0.5833,2015,88.9
5.78043,0.618048,2015,68.8
6.1,0.9166,2015,76.3
6.086857,0.121389,2015,37.5
7.383331,-1.366666,2015,24.1
10.45105,-1.305951,2015,20
5.300029,-0.739683,2015,19
6,-0.833299,2015,65
6.938276,-2.38899,2015,17.9
6.616667,-1.216667,2015,12.8
7.733311,-0.683353,2015,12.8
8.2,0.5186,2015,82.4
5.500001,-1.916594,2015,75
9.283333,-2.416667,2015,18.2
6.2,-2.485,2015,25
10.883297,-1.983358,2015,38.4
5.699999,-1.549999,2015,36.3
9.833333,-2.683333,2015,20.2
5.6,-0.333333,2015,16.3
8.65,0.016646,2015,27.5
10.916667,-0.516667,2015,89.9
5.78043,0.618048,2015,75
6.1,0.9166,2015,10.8
6.086857,0.121389,2015,51.3
7.383331,-1.366666,2015,15.6
10.45105,-1.305951,2015,42.9
5.300029,-0.739683,2015,3.8
6,-0.833299,2015,17.5
6.938276,-2.38899,2015,7.1
7.733311,-0.683353,2015,21.3
8.2,0.5186,2015,27.5
5.500001,-1.916594,2015,91.3
9.283333,-2.416667,2015,15.2
6.2,-2.485,2015,15
10.883297,-1.983358,2015,43.6
5.699999,-1.549999,2015,21.3
9.833333,-2.683333,2015,10.4
5.6,-0.333333,2015,12.5
8.65,0.016646,2015,42.7
11.186975,-14.100133,2015,100
11.186975,-14.100133,2015,100
9.18333,-10.099987,2015,90
9.18333,-10.099987,2015,70
10.382761,-9.311828,2015,100
10.382761,-9.311828,2015,89
-4.181611,39.460611,2015,62.3
-4.181611,39.460611,2015,72.5
6.515188,-10.30489,2015,5
7.358654,-8.709582,2015,9
7.014339,-9.563033,2015,22
6.515188,-10.30489,2015,22
6.673439,-10.225238,2015,27
7.358654,-8.709582,2015,30
6.064945,-8.13932,2015,44.8
7.494964,-10.08078,2015,47
6.064945,-8.13932,2015,62.5
7.014339,-9.563033,2015,67
6.673439,-10.225238,2015,68
7.494964,-10.08078,2015,73
-17.465246,49.200554,2015,92
-17.465246,49.200554,2015,98
-17.465246,49.200554,2015,100
-17.465246,49.200554,2015,100
-17.465246,49.200554,2015,100
-23.25,47.6,2015,100
-23.25,47.6,2015,100
-23.25,47.6,2015,100
-23.25,47.6,2015,100
-18.150355,49.410183,2015,93
-18.150355,49.410183,2015,92
-18.150355,49.410183,2015,96
-18.150355,49.410183,2015,100
-18.150355,49.410183,2015,98
-18.150355,49.410183,2015,97
-21.454841,47.087168,2015,100
-21.454841,47.087168,2015,100
-21.454841,47.087168,2015,100
-21.454841,47.087168,2015,100
-17.38562,49.409111,2015,99
-17.38562,49.409111,2015,100
-17.38562,49.409111,2015,99
-17.38562,49.409111,2015,95
-17.38562,49.409111,2015,99
-17.38562,49.409111,2015,91
-22.817412,47.818038,2015,100
-22.817412,47.818038,2015,100
-22.817412,47.818038,2015,100
-22.817412,47.818038,2015,99
-20.238486,47.375551,2015,100
-20.238486,47.375551,2015,100
-20.238486,47.375551,2015,100
-20.238486,47.375551,2015,100
-23.6,46.01666,2015,80
-18.81972,49.56888,2015,100
-18.81972,49.56888,2015,98
-18.81972,49.56888,2015,99
-18.81972,49.56888,2015,98
-18.81972,49.56888,2015,100
-18.81972,49.56888,2015,100
-17.465246,49.200554,2015,82
-23.6,46.01666,2015,100
-23.6,46.01666,2015,100
-23.6,46.01666,2015,100
-23.6,46.01666,2015,91
-23.6,46.01666,2015,100
-23.6,46.01666,2015,85
-20.53027,47.24333,2015,100
-20.53027,47.24333,2015,98
-20.53027,47.24333,2015,96
-20.53027,47.24333,2015,99
-20.53027,47.24333,2015,94
-20.53027,47.24333,2015,95
-21.75,47.15166,2015,100
-21.75,47.15166,2015,99
-21.75,47.15166,2015,100
-21.75,47.15166,2015,97
-21.75,47.15166,2015,100
-9.723546,33.528019,2015,1
-16.01413,34.79284,2015,44
-15.764222,35.658896,2015,46.5
-15.609673,34.522513,2015,97
-15.609673,34.522513,2015,100
-13.035679,33.471983,2015,53
-14.378233,34.332496,2015,57
-14.47755,35.263741,2015,58
-13.800003,32.893046,2015,63
-16.01413,34.79284,2015,69
-15.764222,35.658896,2015,71.5
-9.93336,33.93333,2015,96
-13.035679,33.471983,2015,75
-14.940726,35.478193,2015,80
-14.47755,35.263741,2015,84
-15.376586,35.335652,2015,89
-9.96189,33.49934,2015,100
-10.22891,34.0445,2015,97
-10.22891,34.0445,2015,95
-12.98455,33.3857,2015,75
-13.69371,33.05691,2015,63
-14.27637,34.66918,2015,57
-14.30803,35.13897,2015,84
-15.14472,35.19245,2015,80
-15.39859,35.42985,2015,89
-15.64273,35.78565,2015,78
-15.64273,35.78565,2015,65
-15.70132,34.39927,2015,97
-15.70132,34.39927,2015,97
-16.02413,34.82353,2015,69
-12.98455,33.3857,2015,53
-14.30803,35.13897,2015,58
-15.64273,35.78565,2015,47
-15.64273,35.78565,2015,46
-15.70132,34.39927,2015,100
-16.02413,34.82353,2015,44
12.74665,-8.07137,2015,7
12.86666,-7.56666,2015,14
17.57069,-3.99617,2015,19
13.0683,-6.82792,2015,21
14.34855,-3.61031,2015,22
12.74665,-8.07137,2015,38
